user_id,registration_date,first_touch_channel,first_touch_campaign_id,user_type,user_role,company_name,company_industry,company_size_category,country,supplier_capabilities_text,user_feedback_text,total_rfq_value_submitted_buyer,total_deals_won_value_supplier,ltv_actual_or_predicted,is_paying_customer,churn_date
USER00022,2025-05-20,Google Ads,,Buyer,Design Engineer,White-Hall,Medical Devices,Large Company (201-1000 emp),United Kingdom,,No major issues encountered during use.,188.92,0.0,423.0,True,2026-05-04
USER00023,2024-04-16,Webinar Platform,CAMP0038,Supplier,Sales Director,"Dawson, Manning and Carter",Robotics & Automation,Large Company (201-1000 emp),Germany,Metal Stamping; Progressive Die; Deep Drawing; Secondary Operations; High Volume Production,,0.0,3126.52,1510.54,True,
USER00024,2024-08-17,LinkedIn Ads,CAMP0007,Supplier,Sales Director,Brown-Chavez,Medical Devices,Medium Business (51-200 emp),Canada,"Precision CNC Machining (3, 4 & 5-axis); Turning; Milling; Grinding; ISO 9001 Certified",,0.0,0.0,0.0,False,
USER00025,2024-04-24,LinkedIn Ads,CAMP0027,Buyer,R&D Lead,Hernandez Group,Electronics & Semiconductors,Medium Business (51-200 emp),Canada,,,13042.25,0.0,10893.93,True,
USER00026,2023-10-06,Display Network,CAMP0017,Buyer,Sourcing Specialist,Sweeney Group,Construction Equipment,Startup (1-10 emp),Mexico,,Encountered a few bugs while submitting my RFQ.,8106.68,0.0,6500.43,True,
USER00027,2022-03-21,SEO Blog,,Buyer,Operations Director,Odonnell-Smith,Electronics & Semiconductors,Enterprise (1000+ emp),Germany,,,1278.94,0.0,3051.19,True,
USER00028,2024-08-18,Webinar Platform,CAMP0043,Supplier,Account Manager,Lee and Sons,Aerospace & Defense,Small Business (11-50 emp),Germany,"Sheet Metal Fabrication; Laser Cutting; Turret Punching; Press Brake Forming; Welding (TIG, MIG); Powder Coating",,0.0,14124.24,6858.34,True,
USER00029,2022-11-28,Webinar Platform,CAMP0038,Buyer,Operations Director,Mcintyre Ltd,Construction Equipment,Startup (1-10 emp),Germany,,,0.0,0.0,0.0,False,
USER00030,2024-09-01,SEO Blog,CAMP0032,Supplier,Sales Director,Stanley-Baker,Automotive Manufacturing,Enterprise (1000+ emp),Australia,"Sheet Metal Fabrication; Laser Cutting; Turret Punching; Press Brake Forming; Welding (TIG, MIG); Powder Coating",Loved the quality of suppliers I found.,0.0,0.0,0.0,False,
USER00031,2022-05-29,Organic Search,,Supplier,Account Manager,Brown-Williams,General Industrial,Enterprise (1000+ emp),Cyprus,"Electronic Contract Manufacturing (ECM); PCB Assembly (SMT, PTH); Cable Harnesses; Box Builds; Functional Testing",,0.0,0.0,0.0,False,
USER00032,2022-08-03,Webinar Platform,CAMP0024,Supplier,Sales Director,Gilbert-West,Aerospace & Defense,Medium Business (51-200 emp),Australia,"Custom Gear Manufacturing; Spur, Helical, Bevel Gears; Heat Treatment; Gear Hobbing & Shaping",Response times from support were too slow.,0.0,14878.72,10008.96,True,2022-10-30
USER00033,2024-10-22,SEO Blog,,Buyer,Procurement Manager,White Inc,Automotive Manufacturing,Startup (1-10 emp),Saudi Arabia,,,0.0,0.0,0.0,False,
USER00034,2023-02-01,Organic Search,,Supplier,Account Manager,"Peterson, Bush and Vance",Automotive Manufacturing,Enterprise (1000+ emp),Syrian Arab Republic,"Precision CNC Machining (3, 4 & 5-axis); Turning; Milling; Grinding; ISO 9001 Certified",,0.0,0.0,0.0,False,
USER00035,2025-03-10,Webinar Platform,CAMP0029,Prospect,,,,,Germany,,,0.0,0.0,0.0,False,
USER00036,2025-05-02,Partner Referral,,Buyer,Procurement Manager,"Shaw, Parker and Schultz",General Industrial,Medium Business (51-200 emp),USA,,,841.42,0.0,972.61,True,
USER00037,2022-06-16,SEO Blog,,Buyer,Sourcing Specialist,"Wallace, Fitzpatrick and Williams",Aerospace & Defense,Enterprise (1000+ emp),United Kingdom,,"Resolved my issue promptly, great support.",0.0,0.0,0.0,False,
USER00038,2023-02-03,LinkedIn Ads,,Buyer,R&D Lead,"Clark, Farrell and Ward",General Industrial,Small Business (11-50 emp),Canada,,My go-to for industrial parts.,0.0,0.0,0.0,False,
USER00039,2023-12-20,SEO Blog,CAMP0031,Buyer,Procurement Manager,"Stevens, Kelley and Pitts",Aerospace & Defense,Medium Business (51-200 emp),Canada,,,13698.71,0.0,9842.46,True,
USER00040,2022-08-12,Display Network,,Supplier,Account Manager,Garcia Inc,Automotive Manufacturing,Startup (1-10 emp),USA,Plastic Injection Molding; Tooling Design & Fabrication; Overmolding; Insert Molding; Cleanroom Assembly,,0.0,0.0,0.0,False,
USER00041,2022-07-03,Webinar Platform,,Buyer,Design Engineer,"Everett, Logan and Haas",Medical Devices,Medium Business (51-200 emp),USA,,The verification process for suppliers seems lengthy.,7538.42,0.0,7389.98,True,
USER00042,2023-07-09,Display Network,CAMP0001,Buyer,Procurement Manager,"King, Patton and Parker",Aerospace & Defense,Medium Business (51-200 emp),Australia,,,10632.53,0.0,11990.81,True,
USER00043,2023-08-24,SEO Blog,CAMP0022,Supplier,Account Manager,Roberson PLC,General Industrial,Large Company (201-1000 emp),Brunei Darussalam,"Precision CNC Machining (3, 4 & 5-axis); Turning; Milling; Grinding; ISO 9001 Certified",Loved the quality of suppliers I found.,0.0,10512.67,6890.32,True,
USER00044,2025-04-07,Partner Referral,CAMP0040,Supplier,Business Owner,Willis Inc,Robotics & Automation,Enterprise (1000+ emp),Australia,Plastic Injection Molding; Tooling Design & Fabrication; Overmolding; Insert Molding; Cleanroom Assembly,,0.0,0.0,0.0,False,
USER00045,2024-01-13,Webinar Platform,CAMP0024,Supplier,Business Owner,James Inc,Electronics & Semiconductors,Small Business (11-50 emp),Australia,"Custom Gear Manufacturing; Spur, Helical, Bevel Gears; Heat Treatment; Gear Hobbing & Shaping",,0.0,0.0,0.0,False,
USER00046,2025-04-11,Display Network,CAMP0049,Buyer,Procurement Manager,Chan Inc,Automotive Manufacturing,Small Business (11-50 emp),Australia,,Top-notch experience overall.,0.0,0.0,0.0,False,
USER00047,2025-02-18,Email Drip,CAMP0042,Buyer,Design Engineer,Snyder-Flores,Electronics & Semiconductors,Startup (1-10 emp),India,,,0.0,0.0,0.0,False,
USER00048,2024-04-13,SEO Blog,CAMP0033,Buyer,R&D Lead,"Grant, Little and Clay",Aerospace & Defense,Large Company (201-1000 emp),Germany,,Easy to navigate and find what I need.,9499.75,0.0,7188.79,True,
USER00049,2025-03-14,Google Ads,CAMP0014,Supplier,Sales Director,Owen-Hernandez,Construction Equipment,Enterprise (1000+ emp),Germany,"Custom Gear Manufacturing; Spur, Helical, Bevel Gears; Heat Treatment; Gear Hobbing & Shaping",Highly recommend this for sourcing.,0.0,0.0,0.0,False,
USER00050,2023-07-15,SEO Blog,CAMP0031,Buyer,Sourcing Specialist,Hanson-Keller,Medical Devices,Enterprise (1000+ emp),USA,,"Average experience, did the job.",0.0,0.0,0.0,False,
USER00051,2023-03-10,LinkedIn Ads,,Supplier,Business Owner,"Bell, Powell and Boyd",Robotics & Automation,Small Business (11-50 emp),United Kingdom,Industrial Fasteners & Hardware Distribution; Standard & Custom Components; Global Sourcing,,0.0,4108.37,2164.16,True,2023-07-19
USER00052,2025-05-03,Organic Search,,Buyer,Procurement Manager,Walls-Gonzalez,Renewable Energy,Small Business (11-50 emp),Germany,,The verification process for suppliers seems lengthy.,4629.69,0.0,6283.44,True,
USER00053,2025-03-09,Display Network,CAMP0021,Prospect,,,,,India,,,0.0,0.0,0.0,False,
USER00054,2022-12-15,Direct,,Supplier,Account Manager,Miller LLC,Renewable Energy,Enterprise (1000+ emp),China,,,0.0,0.0,0.0,False,
USER00055,2024-11-30,LinkedIn Ads,CAMP0011,Buyer,Sourcing Specialist,Larsen-Salazar,Aerospace & Defense,Large Company (201-1000 emp),Mexico,,My go-to for industrial parts.,0.0,0.0,0.0,False,
USER00056,2024-07-08,Organic Search,,Buyer,R&D Lead,"Thomas, Gomez and Ferguson",Medical Devices,Large Company (201-1000 emp),Canada,,,10776.07,0.0,9884.87,True,
USER00057,2022-05-10,Webinar Platform,CAMP0039,Buyer,Operations Director,Martin LLC,Renewable Energy,Small Business (11-50 emp),Brunei Darussalam,,,0.0,0.0,0.0,False,
USER00058,2023-05-12,SEO Blog,CAMP0050,Supplier,Account Manager,"Lucas, Bradley and Fields",Automotive Manufacturing,Enterprise (1000+ emp),India,Plastic Injection Molding; Tooling Design & Fabrication; Overmolding; Insert Molding; Cleanroom Assembly,It's a functional platform.,0.0,0.0,0.0,False,
USER00059,2025-02-13,SEO Blog,CAMP0031,Buyer,Procurement Manager,Stevens PLC,Medical Devices,Startup (1-10 emp),Australia,,Easy to navigate and find what I need.,0.0,0.0,0.0,False,
USER00060,2024-07-02,SEO Blog,CAMP0022,Supplier,Sales Director,Rodriguez LLC,Electronics & Semiconductors,Enterprise (1000+ emp),Heard Island and McDonald Islands,Plastic Injection Molding; Tooling Design & Fabrication; Overmolding; Insert Molding; Cleanroom Assembly,,0.0,0.0,0.0,False,
USER00061,2024-04-08,SEO Blog,CAMP0031,Buyer,Procurement Manager,Hendricks-Joseph,Automotive Manufacturing,Small Business (11-50 emp),Nicaragua,,Loved the quality of suppliers I found.,1761.03,0.0,5150.17,True,
USER00062,2024-10-23,Webinar Platform,CAMP0044,Buyer,R&D Lead,Hernandez-Smith,Automotive Manufacturing,Medium Business (51-200 emp),Pitcairn Islands,,,0.0,0.0,0.0,False,
USER00063,2023-02-27,SEO Blog,CAMP0015,Supplier,Account Manager,Tucker Ltd,Construction Equipment,Enterprise (1000+ emp),United Kingdom,"3D Printing Services (FDM, SLA, SLS, DMLS); Rapid Prototyping; Additive Manufacturing; Material Variety",,0.0,6921.57,7286.12,True,2023-03-31
USER00064,2022-12-10,LinkedIn Ads,CAMP0027,Buyer,Design Engineer,"Calderon, Hicks and Franklin",Robotics & Automation,Enterprise (1000+ emp),Germany,,,4855.36,0.0,5247.76,True,
USER00065,2022-12-13,Partner Referral,,Supplier,Business Owner,Smith and Sons,Robotics & Automation,Startup (1-10 emp),India,Plastic Injection Molding; Tooling Design & Fabrication; Overmolding; Insert Molding; Cleanroom Assembly,,0.0,10995.87,5544.6,True,
USER00066,2025-01-13,SEO Blog,CAMP0037,Buyer,Design Engineer,"Russell, Sharp and Martinez",Medical Devices,Large Company (201-1000 emp),USA,,,0.0,0.0,0.0,False,
USER00067,2022-04-11,LinkedIn Ads,CAMP0011,Prospect,,,,,India,,"Resolved my issue promptly, great support.",0.0,0.0,0.0,False,
USER00068,2024-02-09,LinkedIn Ads,CAMP0002,Supplier,Production Head,"Hill, Zhang and Wood",Renewable Energy,Startup (1-10 emp),Canada,,,0.0,0.0,0.0,False,
USER00069,2022-12-30,Google Ads,,Supplier,Sales Director,"Wood, Davis and Garcia",Renewable Energy,Startup (1-10 emp),Mexico,Plastic Injection Molding; Tooling Design & Fabrication; Overmolding; Insert Molding; Cleanroom Assembly,Top-notch experience overall.,0.0,0.0,0.0,False,
USER00070,2024-02-04,LinkedIn Ads,,Buyer,Operations Director,Wells-Pena,Renewable Energy,Small Business (11-50 emp),Germany,,,0.0,0.0,0.0,False,
USER00071,2023-05-04,SEO Blog,,Supplier,Business Owner,"George, Hernandez and Owens",Aerospace & Defense,Startup (1-10 emp),Cocos (Keeling) Islands,"Electronic Contract Manufacturing (ECM); PCB Assembly (SMT, PTH); Cable Harnesses; Box Builds; Functional Testing",Excellent service and quick turnaround!,0.0,8602.97,7373.33,True,
USER00072,2024-06-26,LinkedIn Ads,CAMP0007,Prospect,,,,,Canada,,,0.0,0.0,0.0,False,
USER00073,2024-10-08,Google Ads,,Buyer,Design Engineer,Perkins Ltd,Aerospace & Defense,Small Business (11-50 emp),India,,Highly recommend this for sourcing.,3988.63,0.0,6507.44,True,2024-12-03
USER00074,2024-11-09,Organic Search,,Buyer,Sourcing Specialist,Reyes Group,Electronics & Semiconductors,Small Business (11-50 emp),Cayman Islands,,,9256.26,0.0,7387.39,True,
USER00075,2022-10-25,Partner Referral,CAMP0005,Buyer,R&D Lead,Kelly-Ortega,General Industrial,Enterprise (1000+ emp),Tajikistan,,,0.0,0.0,0.0,False,
USER00076,2022-06-03,Display Network,,Buyer,Operations Director,Clayton Ltd,Aerospace & Defense,Enterprise (1000+ emp),Germany,,,0.0,0.0,0.0,False,
USER00077,2023-06-20,Email Drip,CAMP0047,Buyer,R&D Lead,Brandt-Sloan,Renewable Energy,Startup (1-10 emp),Canada,,,0.0,0.0,0.0,False,
USER00078,2023-10-03,SEO Blog,CAMP0033,Supplier,Account Manager,Wilson and Sons,Electronics & Semiconductors,Enterprise (1000+ emp),United Kingdom,Industrial Fasteners & Hardware Distribution; Standard & Custom Components; Global Sourcing,,0.0,24467.92,11915.15,True,
USER00079,2023-02-05,Display Network,,Supplier,Production Head,Sanchez-Jones,Renewable Energy,Startup (1-10 emp),Australia,"3D Printing Services (FDM, SLA, SLS, DMLS); Rapid Prototyping; Additive Manufacturing; Material Variety",,0.0,0.0,0.0,False,
USER00080,2023-11-30,Email Drip,,Buyer,Procurement Manager,Ortiz PLC,Medical Devices,Enterprise (1000+ emp),USA,,Excellent service and quick turnaround!,0.0,0.0,0.0,False,
USER00081,2024-02-29,SEO Blog,CAMP0050,Buyer,R&D Lead,Hobbs Group,Electronics & Semiconductors,Medium Business (51-200 emp),Mexico,,,8202.59,0.0,8677.6,True,
USER00082,2023-07-05,Partner Referral,,Supplier,Account Manager,Jackson-Brown,Robotics & Automation,Enterprise (1000+ emp),Ethiopia,,,0.0,16331.5,11015.51,True,
USER00083,2024-02-11,Webinar Platform,CAMP0044,Supplier,Account Manager,"Woods, Moreno and Perry",Aerospace & Defense,Enterprise (1000+ emp),Germany,"Custom Gear Manufacturing; Spur, Helical, Bevel Gears; Heat Treatment; Gear Hobbing & Shaping",The features are adequate for my needs.,0.0,13239.69,10768.21,True,
USER00084,2023-06-02,Email Drip,,Prospect,,,,,USA,,,0.0,0.0,0.0,False,
USER00085,2025-03-30,Google Ads,,Buyer,Procurement Manager,Brown-White,Automotive Manufacturing,Small Business (11-50 emp),Canada,,Loved the quality of suppliers I found.,7285.48,0.0,11534.07,True,
USER00086,2025-01-17,SEO Blog,CAMP0037,Prospect,,,,,Marshall Islands,,,0.0,0.0,0.0,False,
USER00087,2022-11-20,SEO Blog,CAMP0045,Supplier,Business Owner,Taylor-Martinez,Renewable Energy,Small Business (11-50 emp),Germany,Metal Stamping; Progressive Die; Deep Drawing; Secondary Operations; High Volume Production,,0.0,0.0,0.0,False,
USER00088,2023-09-15,Organic Search,,Supplier,Production Head,Kennedy-Brown,Automotive Manufacturing,Medium Business (51-200 emp),Mexico,Metal Stamping; Progressive Die; Deep Drawing; Secondary Operations; High Volume Production,,0.0,0.0,0.0,False,
USER00089,2023-10-31,Webinar Platform,CAMP0029,Buyer,R&D Lead,"Davis, Daniel and Osborne",Construction Equipment,Large Company (201-1000 emp),Gibraltar,,Highly recommend this for sourcing.,10340.97,0.0,8706.6,True,
USER00090,2022-05-15,Direct,,Buyer,Design Engineer,"Cantrell, Dawson and Hobbs",Automotive Manufacturing,Small Business (11-50 emp),Australia,,,0.0,0.0,0.0,False,
USER00091,2023-01-13,Partner Referral,CAMP0040,Supplier,Sales Director,Poole-Lewis,Aerospace & Defense,Small Business (11-50 emp),United Kingdom,"Custom Gear Manufacturing; Spur, Helical, Bevel Gears; Heat Treatment; Gear Hobbing & Shaping",,0.0,0.0,0.0,False,
USER00092,2025-02-12,Google Ads,CAMP0046,Buyer,Operations Director,Vazquez PLC,Construction Equipment,Startup (1-10 emp),United Kingdom,,,5255.75,0.0,8758.88,True,2025-04-05
USER00093,2022-12-30,SEO Blog,CAMP0045,Buyer,Procurement Manager,Peterson-Thornton,Medical Devices,Enterprise (1000+ emp),Mexico,,Highly recommend this for sourcing.,1540.64,0.0,2480.65,True,2024-08-10
USER00094,2023-04-25,Webinar Platform,CAMP0043,Supplier,Production Head,Ramos LLC,Automotive Manufacturing,Large Company (201-1000 emp),USA,,,0.0,0.0,0.0,False,
USER00095,2022-01-08,LinkedIn Ads,CAMP0002,Supplier,Sales Director,Haley-Myers,Medical Devices,Startup (1-10 emp),USA,Metal Stamping; Progressive Die; Deep Drawing; Secondary Operations; High Volume Production,The RFQ process was smooth and effective.,0.0,0.0,0.0,False,
USER00096,2023-10-10,SEO Blog,,Supplier,Sales Director,Pineda and Sons,Electronics & Semiconductors,Small Business (11-50 emp),Canada,Industrial Fasteners & Hardware Distribution; Standard & Custom Components; Global Sourcing,,0.0,9370.39,11746.45,True,
USER00097,2024-05-31,Display Network,CAMP0008,Supplier,Business Owner,Gray-Moore,Robotics & Automation,Enterprise (1000+ emp),Mexico,"3D Printing Services (FDM, SLA, SLS, DMLS); Rapid Prototyping; Additive Manufacturing; Material Variety",,0.0,9383.31,7663.62,True,
USER00098,2022-01-05,Webinar Platform,CAMP0034,Supplier,Business Owner,Brown-Douglas,Aerospace & Defense,Large Company (201-1000 emp),United Kingdom,"Precision CNC Machining (3, 4 & 5-axis); Turning; Milling; Grinding; ISO 9001 Certified",It's not as intuitive as I hoped.,0.0,0.0,0.0,False,
USER00099,2025-05-03,Google Ads,CAMP0004,Buyer,Sourcing Specialist,"Richards, Ryan and Zavala",Renewable Energy,Enterprise (1000+ emp),Germany,,A fantastic tool for procurement.,0.0,0.0,0.0,False,
USER00100,2022-12-13,LinkedIn Ads,CAMP0026,Buyer,Sourcing Specialist,Ramirez-Hernandez,Aerospace & Defense,Startup (1-10 emp),Canada,,,4765.68,0.0,11283.84,True,
USER00101,2024-05-14,Email Drip,,Supplier,Production Head,Fisher LLC,Electronics & Semiconductors,Small Business (11-50 emp),India,,,0.0,0.0,0.0,False,
USER00102,2022-10-17,Partner Referral,,Supplier,Production Head,"Owen, Bennett and Barrera",Automotive Manufacturing,Startup (1-10 emp),Australia,,,0.0,8443.22,6072.58,True,
USER00103,2022-09-09,Webinar Platform,CAMP0029,Buyer,Sourcing Specialist,Daniel-Williams,Aerospace & Defense,Enterprise (1000+ emp),Papua New Guinea,,,0.0,0.0,0.0,False,
USER00104,2023-03-24,SEO Blog,CAMP0025,Prospect,,,,,USA,,,0.0,0.0,0.0,False,
USER00105,2025-02-05,Direct,,Supplier,Account Manager,Smith Ltd,Robotics & Automation,Startup (1-10 emp),USA,"Precision CNC Machining (3, 4 & 5-axis); Turning; Milling; Grinding; ISO 9001 Certified",,0.0,12064.87,9658.54,True,
USER00106,2023-06-20,Email Drip,CAMP0030,Supplier,Business Owner,Larsen-Evans,Automotive Manufacturing,Startup (1-10 emp),USA,Metal Stamping; Progressive Die; Deep Drawing; Secondary Operations; High Volume Production,,0.0,0.0,0.0,False,
USER00107,2024-11-05,Display Network,CAMP0049,Buyer,Design Engineer,"Burnett, Torres and Washington",Automotive Manufacturing,Enterprise (1000+ emp),USA,,,2605.01,0.0,2256.56,True,
USER00108,2024-08-23,Display Network,CAMP0018,Supplier,Production Head,Phillips-Rodriguez,Robotics & Automation,Enterprise (1000+ emp),USA,"Electronic Contract Manufacturing (ECM); PCB Assembly (SMT, PTH); Cable Harnesses; Box Builds; Functional Testing",The search results could be more accurate.,0.0,7781.18,11813.51,True,
USER00109,2022-04-07,SEO Blog,CAMP0022,Buyer,R&D Lead,"Moyer, Huynh and Wilson",Robotics & Automation,Large Company (201-1000 emp),Australia,,,5102.28,0.0,8816.63,True,
USER00110,2023-04-26,Webinar Platform,CAMP0039,Supplier,Sales Director,Kim Ltd,Automotive Manufacturing,Large Company (201-1000 emp),Taiwan,,,0.0,772.08,527.95,True,
USER00111,2025-04-05,Email Drip,CAMP0030,Prospect,,,,,Mali,,,0.0,0.0,0.0,False,
USER00112,2025-04-05,Partner Referral,CAMP0023,Supplier,Business Owner,"Mcguire, Cowan and Miller",Medical Devices,Startup (1-10 emp),USA,Industrial Fasteners & Hardware Distribution; Standard & Custom Components; Global Sourcing,,0.0,0.0,0.0,False,
USER00113,2022-04-18,Webinar Platform,,Buyer,Procurement Manager,Johnson-Kelly,Construction Equipment,Small Business (11-50 emp),Canada,,,0.0,0.0,0.0,False,
USER00114,2023-01-02,LinkedIn Ads,,Supplier,Account Manager,"Mccall, Jackson and Oneill",Aerospace & Defense,Small Business (11-50 emp),India,Plastic Injection Molding; Tooling Design & Fabrication; Overmolding; Insert Molding; Cleanroom Assembly,,0.0,17557.54,11721.43,True,
USER00115,2025-01-13,Direct,,Buyer,Operations Director,Holland Ltd,Construction Equipment,Startup (1-10 emp),Canada,,,8047.61,0.0,7022.94,True,
USER00116,2024-04-01,Webinar Platform,CAMP0035,Buyer,Procurement Manager,Sherman and Sons,Medical Devices,Enterprise (1000+ emp),Germany,,,4667.25,0.0,11492.97,True,
USER00117,2022-12-31,Email Drip,,Buyer,Design Engineer,Jacobs-Rios,Aerospace & Defense,Large Company (201-1000 emp),USA,,,0.0,0.0,0.0,False,
USER00118,2024-04-22,SEO Blog,CAMP0031,Buyer,Sourcing Specialist,Vazquez-Anderson,Renewable Energy,Enterprise (1000+ emp),Canada,,,2591.94,0.0,5577.68,True,
USER00119,2023-05-13,Partner Referral,CAMP0040,Supplier,Production Head,Thomas PLC,Robotics & Automation,Small Business (11-50 emp),USA,Plastic Injection Molding; Tooling Design & Fabrication; Overmolding; Insert Molding; Cleanroom Assembly,,0.0,0.0,0.0,False,
USER00120,2024-03-04,Email Drip,CAMP0003,Supplier,Business Owner,Wolfe-Sanders,Construction Equipment,Large Company (201-1000 emp),United Kingdom,"Electronic Contract Manufacturing (ECM); PCB Assembly (SMT, PTH); Cable Harnesses; Box Builds; Functional Testing",My go-to for industrial parts.,0.0,2141.22,2948.2,True,
USER00121,2022-04-09,LinkedIn Ads,CAMP0002,Supplier,Business Owner,Ward PLC,Aerospace & Defense,Enterprise (1000+ emp),United Kingdom,"3D Printing Services (FDM, SLA, SLS, DMLS); Rapid Prototyping; Additive Manufacturing; Material Variety",Highly recommend this for sourcing.,0.0,0.0,0.0,False,
USER00122,2024-10-03,Display Network,CAMP0016,Supplier,Account Manager,Brooks LLC,Electronics & Semiconductors,Small Business (11-50 emp),Christmas Island,Industrial Fasteners & Hardware Distribution; Standard & Custom Components; Global Sourcing,A fantastic tool for procurement.,0.0,16076.67,7770.98,True,
USER00123,2023-11-05,Webinar Platform,CAMP0038,Buyer,Design Engineer,Daugherty-Rogers,Automotive Manufacturing,Medium Business (51-200 emp),Saint Barthelemy,,The platform is very user-friendly and efficient.,3737.58,0.0,6916.32,True,
USER00124,2024-07-11,Webinar Platform,CAMP0038,Supplier,Production Head,Gray-Yu,Electronics & Semiconductors,Startup (1-10 emp),India,,Easy to navigate and find what I need.,0.0,0.0,0.0,False,
USER00125,2025-04-01,Webinar Platform,CAMP0024,Supplier,Production Head,Hart-Jones,General Industrial,Medium Business (51-200 emp),United Kingdom,"Custom Gear Manufacturing; Spur, Helical, Bevel Gears; Heat Treatment; Gear Hobbing & Shaping",,0.0,3542.13,5401.5,True,
USER00126,2023-05-07,Direct,,Buyer,Operations Director,Franklin-Trujillo,General Industrial,Enterprise (1000+ emp),Korea,,Easy to navigate and find what I need.,0.0,0.0,0.0,False,
