user_id,registration_date,first_touch_channel,first_touch_campaign_id,user_type,user_role,company_name,company_industry,company_size_category,supplier_capabilities_text,country,region,total_rfq_value_submitted_buyer,total_deals_won_value_supplier,ltv_actual_or_predicted,is_paying_customer,churn_date,user_feedback_text,mock_sentiment_score,gemini_sentiment_analysis,gemini_feedback_keywords,gemini_supplier_capability_summary
USER00017,2023-06-20,Email,CAMP0002,Buyer,Designer,Baxter Inc,Aerospace & Defense,Large Enterprise (501-2000),,Canada,Pennsylvania,0.0,0.0,0.0,False,,,,,,
USER00018,2024-05-08,Email,CAMP0046,Prospect,,,,,,Brazil,Massachusetts,0.0,0.0,0.0,False,,,,,,
USER00019,2024-05-26,Direct,,Buyer,Procurement Manager,Jackson Ltd,Construction Equipment,SMB (11-50),,India,South Carolina,0.0,0.0,0.0,False,,Péssimo. Learn customer southern fast establish together as.,0.08,"```json
{
  ""sentiment"": ""Negative"",
  ""key_word"": [""Poor"", ""customer service"", ""slow establishment""]
}
```",,
USER00020,2023-06-12,Email,CAMP0045,Prospect,,,,,,India,Rhode Island,0.0,0.0,0.0,False,,"Razoável, Dream kitchen choose prove yard medical best head.",0.51,"```json
{
  ""sentiment"": ""Neutral"",
  ""key_word"": [""reasonable"", ""Dream kitchen"", ""medical best""]
}
```",,
USER00021,2024-12-25,LinkedIn Ads,CAMP0038,Supplier,Business Owner,"Morales, Preston and Baker LLC",Construction Equipment,SMB (11-50),"Impressão 3D (FDM, SLA); Prototipagem",China,,0.0,0.0,0.0,False,,Não gostei. Simply air however rise four billion feel seat election produce game.,0.4,"```json
{
  ""sentiment"": ""Negative"",
  ""key_word"": [""disliked"", ""poor quality"", ""unclear message""]
}
```",,"```json
{
  ""resumo_capacidades"": ""This supplier offers 3D printing services (FDM and SLA) and prototyping."",
  ""categorias_principais"": [""3D Printing"", ""Prototyping"", ""Additive Manufacturing""]
}
```"
USER00022,2025-02-06,LinkedIn Ads,CAMP0004,Supplier,Marketing Manager,"Allen, Hartman and Singleton Manufacturing",General Manufacturing,Corporate (2000+),"Impressão 3D (FDM, SLA); Prototipagem",China,Massachusetts,0.0,39709.34,18160.04,True,,Não funciona. Picture cultural energy government indicate.,0.2,"```json
{
  ""sentiment"": ""Negative"",
  ""key_word"": [""doesn't work"", ""cultural energy"", ""government indicate""]
}
```",,"```json
{
  ""resumo_capacidades"": ""The vendor offers 3D printing services (FDM and SLA) and prototyping capabilities."",
  ""categorias_principais"": [""3D Printing"", ""Prototyping"", ""Additive Manufacturing""]
}
```"
USER00023,2024-03-31,Email,CAMP0023,Buyer,Operations Manager,Brown-Green,Construction Equipment,Mid-Market (51-500),,Mexico,,0.0,0.0,0.0,False,,Muito bom! Those citizen policy population show thousand bad economy citizen beat eat.,0.96,"```json
{
  ""sentiment"": ""Negative"",
  ""key_word"": [""bad economy"", ""citizen policy"", ""population suffering""]
}
```",,
USER00024,2024-05-18,Google Display Network,CAMP0032,Supplier,Sales Rep,Ortiz-White Manufacturing,Robotics & Automation,Large Enterprise (501-2000),"Montagem Eletrônica (SMT, PTH); Testes Funcionais",USA,Vermont,0.0,6185.03,2137.62,True,,,,,,
USER00025,2022-09-14,Google Ads,,Supplier,Business Owner,"Williams, Garcia and Weber Corp",General Manufacturing,Large Enterprise (501-2000),"Montagem Eletrônica (SMT, PTH); Testes Funcionais",Mexico,Alaska,0.0,0.0,0.0,False,,,,,,
USER00026,2024-04-22,Organic Search,,Buyer,Designer,Vega PLC,Automotive,SMB (11-50),,China,,0.0,0.0,0.0,False,,,,,,
USER00027,2022-07-27,Google Ads,CAMP0031,Supplier,Marketing Manager,Fischer-Andrews Manufacturing,Energy,Large Enterprise (501-2000),Usinagem CNC; Torneamento; Fresamento,China,Indiana,0.0,0.0,0.0,False,,,,,,
USER00028,2025-01-02,Referral Partner Site,CAMP0005,Buyer,Operations Manager,Tucker and Sons,Construction Equipment,Mid-Market (51-500),,Canada,Colorado,0.0,0.0,0.0,False,,,,,,
USER00029,2023-02-12,Organic Search,,Buyer,Engineer,Ramsey-Turner,Construction Equipment,Startup (1-10),,Canada,,0.0,0.0,0.0,False,,,,,,
USER00030,2025-01-29,Referral Partner Site,CAMP0005,Buyer,Designer,Navarro-Ellis,Aerospace & Defense,Startup (1-10),,Canada,Maryland,0.0,0.0,0.0,False,,,,,,
USER00031,2023-06-03,Referral Partner Site,CAMP0006,Supplier,Marketing Manager,"Scott, Spencer and Moore Solutions",Aerospace & Defense,Corporate (2000+),Corte e Dobra de Chapas; Soldagem MIG/TIG,Canada,Michigan,0.0,20188.32,16961.05,True,,,,,,
USER00032,2023-04-29,Referral Partner Site,CAMP0006,Buyer,R&D Specialist,"Mckee, Lee and Velez",Aerospace & Defense,Large Enterprise (501-2000),,Brazil,Kansas,0.0,0.0,0.0,False,,Fácil de usar! Great less quite billion.,0.66,,,
USER00033,2022-01-19,Webinar Platform,CAMP0018,Buyer,Procurement Manager,Wise LLC,Automotive,SMB (11-50),,Germany,,13472.25,0.0,6849.23,True,,,,,,
USER00034,2023-06-15,Webinar Platform,CAMP0048,Buyer,Designer,Thompson-Wright,Construction Equipment,Large Enterprise (501-2000),,China,,0.0,0.0,0.0,False,,,,,,
USER00035,2022-07-09,Webinar Platform,CAMP0018,Prospect,,,,,,China,Utah,0.0,0.0,0.0,False,,Fácil de usar! Industry everyone what focus vote significant on third world ten dog recognize four.,0.99,,,
USER00036,2022-03-12,Referral Partner Site,,Buyer,Designer,Johnson Ltd,Energy,Large Enterprise (501-2000),,Brazil,South Dakota,3951.88,0.0,3174.96,True,,Não gostei. Natural which series full free establish.,0.2,,,
USER00037,2024-01-30,Referral Partner Site,,Buyer,Procurement Manager,"Franco, Phillips and Dawson",Automotive,Corporate (2000+),,Canada,South Dakota,0.0,0.0,0.0,False,,Resolveu meu problema! Low off unit business least network production discuss heart body just third next.,0.54,,,
USER00038,2022-04-15,Google Display Network,CAMP0011,Buyer,Operations Manager,"Smith, Wise and Hall",Energy,Startup (1-10),,Germany,,5304.4,0.0,5040.78,True,,,,,,
USER00039,2024-04-23,Webinar Platform,CAMP0039,Supplier,Business Owner,"Ward, Raymond and Huerta Manufacturing",General Manufacturing,Startup (1-10),Usinagem CNC; Torneamento; Fresamento,Brazil,,0.0,20273.66,11561.72,True,2024-06-07,,,,,
USER00040,2025-03-19,Google Ads,CAMP0031,Prospect,,,,,,Canada,Wisconsin,0.0,0.0,0.0,False,,,,,,
USER00041,2024-12-08,Google Ads,,Supplier,Business Owner,Edwards PLC LLC,Robotics & Automation,Corporate (2000+),Usinagem CNC; Torneamento; Fresamento,Canada,South Carolina,0.0,8937.08,7663.0,True,,,,,,
USER00042,2024-08-28,LinkedIn Ads,CAMP0038,Buyer,Engineer,Hayes-Crosby,Electronics,Startup (1-10),,China,Illinois,0.0,0.0,0.0,False,,,,,,
USER00043,2024-01-10,Organic Search,,Prospect,,,,,,Brazil,,0.0,0.0,0.0,False,,,,,,
USER00044,2022-09-25,LinkedIn Ads,CAMP0009,Supplier,Marketing Manager,"Joseph, Gonzalez and Torres Manufacturing",Electronics,Large Enterprise (501-2000),Corte e Dobra de Chapas; Soldagem MIG/TIG,Canada,Wisconsin,0.0,0.0,0.0,False,,,,,,
USER00045,2025-01-13,LinkedIn Ads,CAMP0038,Supplier,Sales Rep,Barr Group Corp,Medical Devices,Corporate (2000+),Fundição de Alumínio; Acabamento Superficial,Mexico,Arkansas,0.0,0.0,0.0,False,,,,,,
USER00046,2023-01-08,Webinar Platform,CAMP0036,Supplier,Production Manager,Webb PLC LLC,Medical Devices,Startup (1-10),,Brazil,,0.0,18469.8,12080.76,True,,,,,,
USER00047,2025-03-02,LinkedIn Ads,CAMP0038,Buyer,Operations Manager,Macdonald Group,Energy,Startup (1-10),,Canada,Idaho,11820.7,0.0,6730.57,True,,,,,,
USER00048,2024-05-07,Google Ads,CAMP0049,Supplier,Business Owner,James LLC Solutions,Aerospace & Defense,Startup (1-10),"Montagem Eletrônica (SMT, PTH); Testes Funcionais",India,,0.0,12154.75,7069.62,True,,,,,,
USER00049,2023-11-03,Google Ads,CAMP0040,Buyer,Designer,Cantu-Knox,Medical Devices,Large Enterprise (501-2000),,China,,0.0,0.0,0.0,False,,,,,,
USER00050,2023-07-23,Google Ads,CAMP0040,Prospect,,,,,,USA,,0.0,0.0,0.0,False,,Difícil. Yard with sea marriage guy.,0.19,,,
USER00051,2023-07-08,Webinar Platform,CAMP0027,Supplier,Sales Rep,"Richardson, Foster and Duarte Corp",Energy,Corporate (2000+),Injeção Plástica; Ferramentaria,Germany,West Virginia,0.0,23465.34,14608.03,True,,,,,,
USER00052,2024-06-03,Webinar Platform,CAMP0039,Supplier,Marketing Manager,Parrish-Garcia LLC,Aerospace & Defense,SMB (11-50),Usinagem CNC; Torneamento; Fresamento,Germany,New Mexico,0.0,8761.89,4357.14,True,,Decepcionado. Learn fall also charge know language describe everything down war better position.,0.44,,,
USER00053,2024-04-03,Webinar Platform,,Prospect,,,,,,India,South Dakota,0.0,0.0,0.0,False,,,,,,
USER00054,2024-04-07,Referral Partner Site,CAMP0025,Buyer,R&D Specialist,Mendoza-Chavez,Automotive,Corporate (2000+),,Canada,,0.0,0.0,0.0,False,,Decepcionado. Hold mean hour message collection concern smile worker many buy ask side.,0.09,,,
USER00055,2023-04-27,Webinar Platform,,Buyer,R&D Specialist,"Fisher, Matthews and Clayton",Energy,Mid-Market (51-500),,Germany,West Virginia,6782.2,0.0,8968.61,True,,,,,,
USER00056,2022-07-18,LinkedIn Ads,,Buyer,Operations Manager,Nunez-Evans,Construction Equipment,Startup (1-10),,Canada,Delaware,0.0,0.0,0.0,False,,,,,,
USER00057,2025-05-08,Google Ads,CAMP0047,Supplier,Sales Rep,Jordan-Gray Corp,Electronics,Corporate (2000+),,India,Georgia,0.0,22875.65,7819.86,True,,,,,,
USER00058,2025-04-28,Webinar Platform,CAMP0001,Buyer,Designer,Charles-Collins,Construction Equipment,Startup (1-10),,China,North Carolina,3523.93,0.0,2430.1,True,,,,,,
USER00059,2024-11-07,LinkedIn Ads,CAMP0026,Buyer,Engineer,Simpson PLC,Aerospace & Defense,Startup (1-10),,Brazil,Rhode Island,0.0,0.0,0.0,False,,Complicado. None control recognize note machine.,0.42,,,
USER00060,2024-09-25,Webinar Platform,CAMP0039,Prospect,,,,,,Germany,,0.0,0.0,0.0,False,,,,,,
USER00061,2025-01-04,Google Ads,CAMP0031,Supplier,Sales Rep,Thompson-Henderson Solutions,Electronics,Corporate (2000+),,Mexico,Connecticut,0.0,54314.33,19338.88,True,,Excelente! Eat finish owner.,0.9,,,
USER00062,2022-10-12,LinkedIn Ads,CAMP0035,Buyer,Operations Manager,"Baxter, Powell and Pace",Construction Equipment,Corporate (2000+),,China,,9056.84,0.0,7559.46,True,,,,,,
USER00063,2023-01-19,Webinar Platform,CAMP0018,Buyer,Designer,Zhang-Garcia,General Manufacturing,Mid-Market (51-500),,Germany,,0.0,0.0,0.0,False,,,,,,
USER00064,2023-12-06,Google Ads,CAMP0049,Buyer,Designer,"Wong, Little and Wiley",Aerospace & Defense,Large Enterprise (501-2000),,Canada,Idaho,13301.94,0.0,6850.66,True,,,,,,
USER00065,2022-02-16,Webinar Platform,,Buyer,Designer,"Brandt, Owen and Morgan",Automotive,Corporate (2000+),,Canada,Alabama,0.0,0.0,0.0,False,,,,,,
USER00066,2025-04-21,Email,CAMP0046,Buyer,R&D Specialist,"Blair, Pennington and Rivas",Robotics & Automation,Large Enterprise (501-2000),,Mexico,Arkansas,0.0,0.0,0.0,False,,,,,,
USER00067,2023-07-05,Email,CAMP0045,Supplier,Sales Rep,Nichols Group Industries,Robotics & Automation,Corporate (2000+),,Brazil,Utah,0.0,0.0,0.0,False,,Decepcionado. Happen expert newspaper soon animal wish begin subject gas.,0.33,,,
USER00068,2023-03-14,Google Display Network,CAMP0011,Prospect,,,,,,Brazil,Montana,0.0,0.0,0.0,False,,,,,,
USER00069,2024-04-14,Google Display Network,CAMP0034,Supplier,Marketing Manager,Mcdowell Inc Solutions,General Manufacturing,SMB (11-50),Usinagem CNC; Torneamento; Fresamento,China,California,0.0,12858.35,7214.05,True,,Eficiente! Stand entire college guy oil any bill try.,1.0,,,
USER00070,2024-09-15,SEO,CAMP0030,Prospect,,,,,,USA,North Carolina,0.0,0.0,0.0,False,,Rápido! Movement entire less decision see again western mean.,0.73,,,
USER00071,2025-02-11,Email,,Buyer,Engineer,Fletcher-Costa,General Manufacturing,Mid-Market (51-500),,China,Texas,0.0,0.0,0.0,False,,,,,,
USER00072,2022-06-04,SEO,,Supplier,Business Owner,"Vega, Heath and Bishop Manufacturing",Electronics,Large Enterprise (501-2000),,Brazil,Colorado,0.0,3318.72,1251.34,True,,Ótimo! While thought no develop large computer sound feel different experience senior food better coach mission environmental ahead be choose because report.,0.58,,,
USER00073,2022-04-09,Webinar Platform,CAMP0024,Prospect,,,,,,Canada,,0.0,0.0,0.0,False,,Adorei! Quite research data finish evidence energy think better between.,0.81,,,
USER00074,2023-03-25,Google Ads,CAMP0049,Buyer,Designer,Cuevas PLC,Construction Equipment,Startup (1-10),,China,,0.0,0.0,0.0,False,,,,,,
USER00075,2022-06-14,Google Display Network,CAMP0017,Supplier,Marketing Manager,"Davis, Ryan and Knight Solutions",Construction Equipment,SMB (11-50),Corte e Dobra de Chapas; Soldagem MIG/TIG,Brazil,Kansas,0.0,8700.84,3260.32,True,,,,,,
USER00076,2023-08-01,Organic Search,,Buyer,Operations Manager,"Davis, Russell and Rodriguez",Automotive,Mid-Market (51-500),,Germany,Arizona,14523.34,0.0,8296.53,True,,,,,,
USER00077,2025-04-20,Google Ads,CAMP0031,Prospect,,,,,,Germany,,0.0,0.0,0.0,False,,Ruim. But story affect.,0.23,,,
USER00078,2022-09-01,Referral Partner Site,,Prospect,,,,,,Canada,North Carolina,0.0,0.0,0.0,False,,,,,,
USER00079,2025-04-30,LinkedIn Ads,CAMP0026,Prospect,,,,,,Canada,Maine,0.0,0.0,0.0,False,,,,,,
USER00080,2022-02-26,Webinar Platform,CAMP0018,Buyer,Engineer,Bean-Ayala,Aerospace & Defense,Startup (1-10),,China,Texas,0.0,0.0,0.0,False,,,,,,
USER00081,2025-02-09,Webinar Platform,CAMP0039,Supplier,Sales Rep,"Gallegos, Jones and Mccarty Industries",Construction Equipment,Large Enterprise (501-2000),,USA,Washington,0.0,0.0,0.0,False,,,,,,
USER00082,2022-08-02,Direct,,Buyer,Designer,Bell PLC,Medical Devices,Startup (1-10),,Canada,,0.0,0.0,0.0,False,,,,,,
USER00083,2023-05-22,Webinar Platform,,Prospect,,,,,,China,North Dakota,0.0,0.0,0.0,False,,"Razoável, Miss catch realize improve.",0.55,,,
USER00084,2024-12-30,SEO,CAMP0003,Buyer,Engineer,"Duffy, Salas and Cervantes",Energy,Mid-Market (51-500),,USA,Delaware,0.0,0.0,0.0,False,,,,,,
USER00085,2024-01-10,Google Ads,CAMP0049,Buyer,Operations Manager,Cisneros Ltd,Energy,SMB (11-50),,Canada,Virginia,20591.53,0.0,11636.99,True,,,,,,
USER00086,2024-10-05,Referral Partner Site,CAMP0006,Buyer,R&D Specialist,Goodwin-Gonzalez,General Manufacturing,Mid-Market (51-500),,Germany,New Jersey,0.0,0.0,0.0,False,,,,,,
USER00087,2022-12-11,Webinar Platform,CAMP0048,Supplier,Production Manager,Case-Murphy Solutions,Electronics,SMB (11-50),Injeção Plástica; Ferramentaria,Canada,Indiana,0.0,0.0,0.0,False,,,,,,
USER00088,2024-09-16,Email,CAMP0023,Buyer,Designer,"Wilson, Potts and Mcmillan",Aerospace & Defense,Large Enterprise (501-2000),,Brazil,,0.0,0.0,0.0,False,,,,,,
USER00089,2023-12-05,SEO,CAMP0030,Supplier,Sales Rep,Grant-Lopez Industries,Aerospace & Defense,Startup (1-10),,India,South Dakota,0.0,0.0,0.0,False,,,,,,
USER00090,2023-02-03,Webinar Platform,CAMP0018,Supplier,Sales Rep,Williams-Chang Manufacturing,Robotics & Automation,SMB (11-50),"Montagem Eletrônica (SMT, PTH); Testes Funcionais",Mexico,Ohio,0.0,0.0,0.0,False,,,,,,
USER00091,2022-03-29,SEO,,Buyer,R&D Specialist,"Moran, Garcia and Golden",Electronics,SMB (11-50),,Germany,Ohio,0.0,0.0,0.0,False,,,,,,
USER00092,2023-08-02,SEO,CAMP0013,Supplier,Sales Rep,Bolton Ltd Solutions,Automotive,Startup (1-10),Fundição de Alumínio; Acabamento Superficial,USA,California,0.0,16741.66,9773.79,True,,,,,,
USER00093,2022-02-22,SEO,CAMP0013,Prospect,,,,,,Brazil,,0.0,0.0,0.0,False,,,,,,
USER00094,2025-03-18,Email,,Supplier,Business Owner,Moore Group Corp,Electronics,Mid-Market (51-500),,Canada,,0.0,6257.22,3982.38,True,,,,,,
USER00095,2024-01-09,LinkedIn Ads,,Buyer,Operations Manager,Weiss and Sons,Construction Equipment,SMB (11-50),,Brazil,Rhode Island,0.0,0.0,0.0,False,,,,,,
USER00096,2022-12-11,LinkedIn Ads,CAMP0026,Buyer,Procurement Manager,"Mcdowell, Evans and Davis",General Manufacturing,Large Enterprise (501-2000),,Brazil,West Virginia,0.0,0.0,0.0,False,,,,,,
USER00097,2023-02-24,Email,CAMP0023,Supplier,Marketing Manager,Carpenter-Dougherty LLC,Robotics & Automation,Startup (1-10),,India,Rhode Island,0.0,29936.98,14454.6,True,,,,,,
USER00098,2023-12-13,Webinar Platform,CAMP0048,Supplier,Business Owner,Lane PLC LLC,General Manufacturing,SMB (11-50),Injeção Plástica; Ferramentaria,China,Arizona,0.0,0.0,0.0,False,,,,,,
USER00099,2022-12-12,Webinar Platform,CAMP0039,Buyer,Operations Manager,Beck-Miller,Construction Equipment,SMB (11-50),,Brazil,Virginia,10009.5,0.0,5858.32,True,,,,,,
USER00100,2022-10-17,SEO,CAMP0041,Buyer,R&D Specialist,Richardson LLC,Energy,SMB (11-50),,Brazil,New Mexico,0.0,0.0,0.0,False,,Fácil de usar! President almost site thousand that suffer early identify store night action commercial image responsibility attention town Mrs peace gun.,0.74,,,
USER00101,2024-04-30,Google Ads,CAMP0049,Buyer,R&D Specialist,"Mercado, Morton and Mack",Electronics,Large Enterprise (501-2000),,Mexico,Georgia,24329.81,0.0,14088.55,True,,Ótimo! Again say body west environment other camera level according war top computer response part friend authority maintain factor very send civil.,0.8,,,
USER00102,2025-05-27,LinkedIn Ads,CAMP0004,Buyer,Engineer,Ho-Black,Electronics,Startup (1-10),,Germany,South Dakota,2583.52,0.0,5164.46,True,,,,,,
USER00103,2023-09-24,SEO,CAMP0003,Supplier,Marketing Manager,Sanchez-Williams Industries,Aerospace & Defense,SMB (11-50),Injeção Plástica; Ferramentaria,Canada,Illinois,0.0,0.0,0.0,False,,,,,,
USER00104,2024-05-21,Webinar Platform,,Prospect,,,,,,USA,Wyoming,0.0,0.0,0.0,False,,,,,,
USER00105,2022-06-01,Webinar Platform,CAMP0001,Buyer,Designer,Gray-Smith,Aerospace & Defense,Mid-Market (51-500),,Germany,,18951.47,0.0,11315.17,True,2023-05-14,,,,,
USER00106,2023-06-09,Webinar Platform,CAMP0024,Supplier,Sales Rep,Garcia PLC Solutions,General Manufacturing,Startup (1-10),,Mexico,,0.0,0.0,0.0,False,,Ótimo! Beat subject itself happy hold rest should author give data attack amount power president we drive sea prevent.,0.53,,,
USER00107,2022-09-23,Webinar Platform,CAMP0036,Buyer,Operations Manager,"Chapman, Randolph and Miles",Medical Devices,Corporate (2000+),,India,Alaska,5941.81,0.0,4746.42,True,,,,,,
USER00108,2022-06-12,SEO,CAMP0029,Prospect,,,,,,Canada,Arkansas,0.0,0.0,0.0,False,,Adorei! Parent far effect part election happen even full.,0.77,,,
USER00109,2024-10-05,Google Display Network,CAMP0034,Prospect,,,,,,Brazil,Arizona,0.0,0.0,0.0,False,,,,,,
USER00110,2022-03-23,Webinar Platform,CAMP0048,Prospect,,,,,,Mexico,Kansas,0.0,0.0,0.0,False,,,,,,
USER00111,2024-05-18,Google Display Network,,Prospect,,,,,,Mexico,Hawaii,0.0,0.0,0.0,False,,,,,,
USER00112,2022-05-15,SEO,CAMP0013,Buyer,R&D Specialist,"Diaz, Kent and Wang",Aerospace & Defense,SMB (11-50),,China,Connecticut,0.0,0.0,0.0,False,,,,,,
USER00113,2025-02-05,Webinar Platform,CAMP0039,Buyer,Operations Manager,Martin LLC,Energy,Mid-Market (51-500),,Brazil,,0.0,0.0,0.0,False,,,,,,
USER00114,2023-12-08,Webinar Platform,CAMP0036,Supplier,Sales Rep,Miller LLC Solutions,Construction Equipment,Startup (1-10),"Montagem Eletrônica (SMT, PTH); Testes Funcionais",Germany,New Jersey,0.0,3994.86,1781.05,True,,,,,,
USER00115,2022-03-27,LinkedIn Ads,CAMP0038,Supplier,Sales Rep,Richard-Williams Solutions,General Manufacturing,Startup (1-10),Fundição de Alumínio; Acabamento Superficial,Mexico,,0.0,38615.03,18274.79,True,2022-08-15,,,,,
USER00116,2023-06-17,SEO,CAMP0003,Buyer,Designer,Mccarthy-Williamson,Energy,SMB (11-50),,China,,11607.95,0.0,10834.09,True,,,,,,
USER00117,2022-10-13,Organic Search,,Prospect,,,,,,India,,0.0,0.0,0.0,False,,,,,,
USER00118,2024-09-18,Google Display Network,CAMP0014,Supplier,Business Owner,"Morris, Martin and Johnson LLC",Aerospace & Defense,Mid-Market (51-500),Usinagem CNC; Torneamento; Fresamento,Germany,,0.0,0.0,0.0,False,,"Funciona, All right office natural scene hour whose serve almost up purpose floor.",0.47,,,
USER00119,2024-06-15,Google Display Network,CAMP0010,Prospect,,,,,,India,,0.0,0.0,0.0,False,,Recomendo! Miss threat participant every benefit.,0.6,,,
USER00120,2022-10-15,LinkedIn Ads,CAMP0038,Prospect,,,,,,Mexico,New Hampshire,0.0,0.0,0.0,False,,Péssimo. Decision it pretty production out laugh travel listen old throw less mention another.,0.47,,,
USER00121,2022-09-05,Google Ads,,Buyer,Engineer,"Miranda, Moore and Gomez",Robotics & Automation,Large Enterprise (501-2000),,USA,,0.0,0.0,0.0,False,,,,,,
USER00122,2024-01-01,Google Ads,CAMP0031,Buyer,Engineer,Leonard-Wolf,Aerospace & Defense,Corporate (2000+),,USA,Washington,0.0,0.0,0.0,False,,,,,,
USER00123,2024-11-04,Referral Partner Site,CAMP0007,Buyer,Procurement Manager,"Caldwell, Johnson and Williams",Construction Equipment,Mid-Market (51-500),,USA,New Jersey,0.0,0.0,0.0,False,,,,,,
USER00124,2023-09-02,Referral Partner Site,CAMP0025,Prospect,,,,,,Canada,Georgia,0.0,0.0,0.0,False,,,,,,
USER00125,2022-09-25,Email,CAMP0015,Supplier,Business Owner,"Rasmussen, Davis and Cummings Manufacturing",Construction Equipment,Corporate (2000+),Fundição de Alumínio; Acabamento Superficial,USA,,0.0,0.0,0.0,False,,,,,,
USER00126,2022-03-13,LinkedIn Ads,CAMP0004,Buyer,Engineer,Blankenship-Tran,General Manufacturing,Corporate (2000+),,Mexico,,14157.14,0.0,11843.79,True,,,,,,
USER00127,2024-05-29,Direct,,Supplier,Sales Rep,Dorsey-Benson Manufacturing,Energy,SMB (11-50),Injeção Plástica; Ferramentaria,Brazil,Alabama,0.0,29504.2,16240.27,True,,,,,,
USER00128,2024-11-02,Google Ads,CAMP0040,Buyer,R&D Specialist,"Becker, Gonzalez and French",General Manufacturing,Startup (1-10),,Mexico,Nebraska,8817.43,0.0,5316.17,True,,,,,,
USER00129,2024-09-15,Referral Partner Site,CAMP0007,Supplier,Production Manager,Wilson-Henry Corp,Construction Equipment,Startup (1-10),Corte e Dobra de Chapas; Soldagem MIG/TIG,Mexico,,0.0,12604.84,14601.78,True,,,,,,
